23:12:47.384 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
23:12:47.393 [restartedMain] INFO  c.k.a.AjaxApplication - [logStarting,55] - Starting AjaxApplication using Java 17.0.2 on Yachne with PID 13216 (D:\kaifamiao\workspace\idea\java\ajax\target\classes started by Administrator in D:\kaifamiao\workspace\idea\java)
23:12:47.394 [restartedMain] INFO  c.k.a.AjaxApplication - [logStartupProfileInfo,632] - No active profile set, falling back to 1 default profile: "default"
23:12:48.994 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8080"]
23:12:48.996 [restartedMain] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
23:12:48.997 [restartedMain] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.82]
23:12:49.115 [restartedMain] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
23:12:49.186 [restartedMain] INFO  o.a.c.c.StandardService - [log,173] - Stopping service [Tomcat]
23:13:39.679 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
23:13:39.682 [restartedMain] INFO  c.k.a.AjaxApplication - [logStarting,55] - Starting AjaxApplication using Java 17.0.2 on Yachne with PID 4836 (D:\kaifamiao\workspace\idea\java\ajax\target\classes started by Administrator in D:\kaifamiao\workspace\idea\java)
23:13:39.683 [restartedMain] INFO  c.k.a.AjaxApplication - [logStartupProfileInfo,632] - No active profile set, falling back to 1 default profile: "default"
23:13:40.719 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8080"]
23:13:40.721 [restartedMain] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
23:13:40.721 [restartedMain] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.82]
23:13:40.799 [restartedMain] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
23:13:41.573 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8080"]
23:13:41.702 [restartedMain] INFO  c.k.a.AjaxApplication - [logStarted,61] - Started AjaxApplication in 2.389 seconds (JVM running for 3.094)
23:14:58.470 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
23:14:58.477 [restartedMain] INFO  c.k.a.AjaxApplication - [logStarting,55] - Starting AjaxApplication using Java 17.0.2 on Yachne with PID 6660 (D:\kaifamiao\workspace\idea\java\ajax\target\classes started by Administrator in D:\kaifamiao\workspace\idea\java)
23:14:58.479 [restartedMain] INFO  c.k.a.AjaxApplication - [logStartupProfileInfo,632] - No active profile set, falling back to 1 default profile: "default"
23:15:00.218 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8080"]
23:15:00.219 [restartedMain] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
